;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Название;Вид;Способ;Состав;Тип;%;г;р;Масса;Вес ингр-тов;Траты всего;Потери, %;Маржа;Цена за 1 кг;ЧП;Ссылка интернет;Ссылка ПК;Наличие;Примечание;;
Куриные Сырные;Сосиски;Вареное;Мускатный орех;Специи;0,05%;0,50 г;1,04 ₽;3500,00 г;1,75 г;3,64 ₽;;70%;1,77 ₽;0,73 ₽;https://www.youtube.com/watch?v=WJ2KT_frzos&t=16s;D:\Video\Колбаса_рецепты\Домашние куриные сосиски с твердым сыром.mp11;Да;;;
Куриные Сырные;Сосиски;Вареное;Сливки;Добавки;15,00%;150,00 г;75,90 ₽;3500,00 г;525,00 г;265,65 ₽;;70%;129,03 ₽;53,13 ₽;https://www.youtube.com/watch?v=WJ2KT_frzos&t=16s;D:\Video\Колбаса_рецепты\Домашние куриные сосиски с твердым сыром.mp12;Да;;;
Куриные Сырные;Сосиски;Вареное;Полиамидная сосисочная;Оболочка;0,10%;1,00 г;15,41 ₽;3500,00 г;3,50 г;53,93 ₽;;70%;26,19 ₽;10,79 ₽;https://www.youtube.com/watch?v=WJ2KT_frzos&t=16s;D:\Video\Колбаса_рецепты\Домашние куриные сосиски с твердым сыром.mp13;Да;;;
Сардельки Свиные;Сосиски;Вареное;Лопатка свиная;Свинина;100,00%;1000,00 г;369,00 ₽;3500,00 г;3500,00 г;1 291,50 ₽;15%;70%;738,00 ₽;303,88 ₽;https://www.youtube.com/watch?v=Mu_glCpe-Y8;D:\Video\Колбаса_рецепты\Сочные домашние сардельки Кнакеры.  Как сделать корочку, чтобы сардельки ''хрупали'' при укусе..mp4;Нет;;;
Сардельки Свиные;Сосиски;Вареное;Вода;Добавки;30,00%;300,00 г;0,30 ₽;3500,00 г;1050,00 г;1,05 ₽;;70%;0,51 ₽;0,21 ₽;https://www.youtube.com/watch?v=Mu_glCpe-Y8;D:\Video\Колбаса_рецепты\Сочные домашние сардельки Кнакеры.  Как сделать корочку, чтобы сардельки ''хрупали'' при укусе..mp6;Да;;;
Сардельки Свиные;Сосиски;Вареное;Соль пищевая;Специи;1,00%;10,00 г;0,39 ₽;3500,00 г;35,00 г;1,35 ₽;;70%;0,65 ₽;0,27 ₽;https://www.youtube.com/watch?v=Mu_glCpe-Y8;D:\Video\Колбаса_рецепты\Сочные домашние сардельки Кнакеры.  Как сделать корочку, чтобы сардельки ''хрупали'' при укусе..mp7;Да;;;
Сардельки Свиные;Сосиски;Вареное;Соль нитритная;Специи;1,00%;10,00 г;1,28 ₽;3500,00 г;35,00 г;4,48 ₽;;70%;2,18 ₽;0,90 ₽;https://www.youtube.com/watch?v=Mu_glCpe-Y8;D:\Video\Колбаса_рецепты\Сочные домашние сардельки Кнакеры.  Как сделать корочку, чтобы сардельки ''хрупали'' при укусе..mp8;Да;;;
Сардельки Свиные;Сосиски;Вареное;Сахар;Специи;0,20%;2,00 г;0,16 ₽;3500,00 г;7,00 г;0,57 ₽;;70%;0,28 ₽;0,11 ₽;https://www.youtube.com/watch?v=Mu_glCpe-Y8;D:\Video\Колбаса_рецепты\Сочные домашние сардельки Кнакеры.  Как сделать корочку, чтобы сардельки ''хрупали'' при укусе..mp9;Да;;;
Сардельки Свиные;Сосиски;Вареное;Перец черный молотый;Специи;0,13%;1,30 г;1,42 ₽;3500,00 г;4,55 г;4,98 ₽;;70%;2,42 ₽;1,00 ₽;https://www.youtube.com/watch?v=Mu_glCpe-Y8;D:\Video\Колбаса_рецепты\Сочные домашние сардельки Кнакеры.  Как сделать корочку, чтобы сардельки ''хрупали'' при укусе..mp10;Да;;;
Сардельки Свиные;Сосиски;Вареное;Кориандр;Специи;0,13%;1,30 г;0,65 ₽;3500,00 г;4,55 г;2,29 ₽;;70%;1,11 ₽;0,46 ₽;https://www.youtube.com/watch?v=Mu_glCpe-Y8;D:\Video\Колбаса_рецепты\Сочные домашние сардельки Кнакеры.  Как сделать корочку, чтобы сардельки ''хрупали'' при укусе..mp11;Да;;;
